obec,strana,pocet
531171,531171,8
531171,531171,1
531171,531171,52
531171,531171,2
531171,13,0
531171,531171,35
531201,531201,62
531201,531201,13
531201,531201,25
531201,531201,11
531201,531201,227
531201,531201,136
531201,531201,70
531201,531201,1
531201,531201,311
531201,531201,11
531201,531201,4
531201,531201,61
531227,531227,31
531227,531227,6
531227,531227,20
531227,531227,6
531227,531227,186
531227,531227,147
531227,531227,27
531227,06,0
531227,531227,250
531227,531227,4
531227,531227,6
531227,531227,42
531243,531243,26
531243,531243,5
531243,531243,33
531243,531243,16
531243,531243,220
531243,531243,89
531243,531243,25
531243,531243,2
531243,531243,270
531243,531243,4
531243,531243,4
531243,531243,56
534455,534455,26
534455,534455,4
534455,534455,6
534455,534455,4
534455,534455,30
534455,534455,9
534455,534455,5
534455,534455,2
534455,534455,25
534455,534455,7
534455,13,0
534455,534455,16
533670,533670,13
533670,533670,8
533670,533670,6
533670,533670,3
533670,533670,118
533670,533670,45
533670,533670,16
533670,533670,1
533670,533670,131
533670,533670,4
533670,533670,6
533670,533670,32
531308,531308,4
531308,531308,2
531308,531308,5
531308,04,0
531308,531308,25
531308,531308,29
531308,531308,4
531308,06,0
531308,531308,35
531308,531308,4
531308,13,0
531308,531308,11
531324,531324,72
531324,531324,12
531324,531324,69
531324,531324,25
531324,531324,474
531324,531324,227
531324,531324,34
531324,531324,10
531324,531324,503
531324,531324,17
531324,531324,2
531324,531324,79
533793,533793,10
533793,533793,1
533793,533793,2
533793,04,0
533793,533793,22
533793,533793,4
533793,533793,2
533793,06,0
533793,533793,8
533793,02,0
533793,13,0
533793,533793,1
533203,533203,148
533203,533203,28
533203,533203,162
533203,533203,27
533203,533203,854
533203,533203,403
533203,533203,99
533203,533203,13
533203,533203,978
533203,533203,29
533203,533203,11
533203,533203,190
533939,533939,5
533939,533939,4
533939,533939,2
533939,533939,1
533939,533939,13
533939,533939,10
533939,533939,2
533939,06,0
533939,533939,15
533939,02,0
533939,533939,2
533939,533939,2
531448,531448,18
531448,531448,3
531448,531448,14
531448,531448,5
531448,531448,78
531448,531448,48
531448,531448,12
531448,06,0
531448,531448,103
531448,531448,5
531448,531448,2
531448,531448,14
531464,531464,27
531464,531464,8
531464,531464,26
531464,531464,5
531464,531464,324
531464,531464,77
531464,531464,38
531464,531464,5
531464,531464,299
531464,531464,8
531464,13,0
531464,531464,71
534404,534404,2
534404,18,0
534404,10,0
534404,04,0
534404,534404,19
534404,534404,5
534404,534404,5
534404,06,0
534404,534404,27
534404,534404,1
534404,13,0
534404,534404,8
534218,534218,3
534218,18,0
534218,534218,1
534218,534218,1
534218,534218,14
534218,534218,8
534218,534218,2
534218,06,0
534218,534218,14
534218,534218,1
534218,13,0
534218,534218,3
531537,531537,17
531537,531537,2
531537,531537,6
531537,531537,4
531537,531537,100
531537,531537,16
531537,531537,7
531537,531537,5
531537,531537,70
531537,531537,2
531537,531537,1
531537,531537,27
533912,533912,2
533912,18,0
533912,533912,9
533912,04,0
533912,533912,25
533912,533912,1
533912,12,0
533912,533912,1
533912,533912,31
533912,02,0
533912,13,0
533912,533912,9
534269,534269,15
534269,534269,1
534269,534269,2
534269,534269,1
534269,534269,14
534269,534269,11
534269,534269,4
534269,06,0
534269,534269,23
534269,534269,1
534269,13,0
534269,11,0
531596,531596,34
531596,531596,9
531596,531596,30
531596,531596,27
531596,531596,295
531596,531596,101
531596,531596,23
531596,531596,1
531596,531596,341
531596,531596,14
531596,531596,5
531596,531596,92
531626,531626,11
531626,531626,6
531626,531626,11
531626,531626,1
531626,531626,44
531626,531626,54
531626,531626,13
531626,531626,1
531626,531626,118
531626,531626,2
531626,531626,1
531626,531626,12
531642,531642,25
531642,531642,2
531642,531642,7
531642,531642,3
531642,531642,81
531642,531642,44
531642,531642,26
531642,06,0
531642,531642,50
531642,531642,2
531642,531642,1
531642,531642,14
531669,531669,11
531669,531669,6
531669,531669,18
531669,531669,2
531669,531669,50
531669,531669,66
531669,531669,11
531669,06,0
531669,531669,115
531669,531669,1
531669,13,0
531669,531669,16
531685,531685,22
531685,531685,6
531685,531685,19
531685,531685,2
531685,531685,82
531685,531685,89
531685,531685,22
531685,06,0
531685,531685,118
531685,02,0
531685,531685,1
531685,531685,25
531715,531715,13
531715,531715,3
531715,531715,16
531715,531715,2
531715,531715,58
531715,531715,32
531715,531715,6
531715,531715,4
531715,531715,97
531715,531715,2
531715,531715,1
531715,531715,13
531740,531740,12
531740,531740,7
531740,531740,6
531740,531740,5
531740,531740,47
531740,531740,26
531740,531740,10
531740,06,0
531740,531740,96
531740,531740,2
531740,13,0
531740,531740,11
531766,531766,11
531766,531766,3
531766,531766,18
531766,531766,1
531766,531766,37
531766,531766,33
531766,531766,10
531766,06,0
531766,531766,100
531766,531766,2
531766,13,0
531766,531766,9
531791,531791,13
531791,531791,1
531791,531791,12
531791,04,0
531791,531791,59
531791,531791,45
531791,531791,10
531791,531791,2
531791,531791,90
531791,531791,3
531791,531791,1
531791,531791,21
531812,531812,9
531812,18,0
531812,531812,5
531812,531812,1
531812,531812,79
531812,531812,9
531812,531812,5
531812,531812,1
531812,531812,59
531812,531812,2
531812,13,0
531812,531812,16
531847,531847,10
531847,531847,9
531847,531847,15
531847,531847,6
531847,531847,116
531847,531847,134
531847,531847,23
531847,06,0
531847,531847,168
531847,531847,8
531847,13,0
531847,531847,18
534463,534463,12
534463,534463,3
534463,534463,6
534463,04,0
534463,534463,47
534463,534463,10
534463,534463,5
534463,534463,1
534463,534463,56
534463,534463,2
534463,13,0
534463,534463,14
531880,531880,4
531880,531880,1
531880,531880,5
531880,531880,1
531880,531880,8
531880,531880,36
531880,531880,3
531880,06,0
531880,531880,20
531880,531880,4
531880,531880,1
531880,531880,2
531910,531910,17
531910,531910,4
531910,531910,7
531910,531910,4
531910,531910,77
531910,531910,37
531910,531910,9
531910,06,0
531910,531910,73
531910,02,0
531910,13,0
531910,531910,6
534048,534048,15
534048,534048,2
534048,534048,14
534048,04,0
534048,534048,32
534048,534048,14
534048,534048,9
534048,534048,1
534048,534048,38
534048,534048,6
534048,13,0
534048,534048,7
531952,531952,19
531952,531952,6
531952,531952,5
531952,531952,6
531952,531952,55
531952,531952,37
531952,531952,12
531952,531952,1
531952,531952,67
531952,02,0
531952,13,0
531952,531952,13
531979,531979,25
531979,531979,3
531979,531979,7
531979,531979,9
531979,531979,169
531979,531979,29
531979,531979,7
531979,531979,3
531979,531979,82
531979,531979,3
531979,531979,2
531979,531979,47
531995,531995,51
531995,531995,7
531995,531995,35
531995,531995,6
531995,531995,231
531995,531995,205
531995,531995,26
531995,531995,2
531995,531995,287
531995,531995,8
531995,531995,1
531995,531995,48
532011,532011,129
532011,532011,26
532011,532011,94
532011,532011,27
532011,532011,690
532011,532011,274
532011,532011,92
532011,532011,5
532011,532011,659
532011,532011,25
532011,532011,11
532011,532011,139
532070,532070,1
532070,18,0
532070,532070,1
532070,532070,2
532070,532070,43
532070,532070,14
532070,532070,1
532070,06,0
532070,532070,22
532070,532070,2
532070,13,0
532070,532070,6
535125,535125,8
535125,535125,1
535125,535125,6
535125,535125,4
535125,535125,14
535125,535125,15
535125,535125,3
535125,535125,1
535125,535125,50
535125,535125,2
535125,13,0
535125,535125,5
532118,532118,33
532118,532118,15
532118,532118,57
532118,532118,19
532118,532118,162
532118,532118,172
532118,532118,25
532118,532118,2
532118,532118,375
532118,532118,7
532118,532118,2
532118,532118,69
532142,532142,36
532142,532142,6
532142,532142,28
532142,532142,6
532142,532142,114
532142,532142,63
532142,532142,7
532142,532142,1
532142,532142,117
532142,532142,7
532142,13,0
532142,532142,38
532185,532185,15
532185,532185,4
532185,532185,17
532185,532185,2
532185,532185,81
532185,532185,97
532185,532185,5
532185,532185,1
532185,532185,95
532185,532185,8
532185,13,0
532185,532185,24
532223,532223,18
532223,532223,8
532223,532223,27
532223,532223,12
532223,532223,213
532223,532223,119
532223,532223,14
532223,532223,2
532223,532223,229
532223,532223,9
532223,532223,3
532223,532223,44
512991,512991,19
512991,512991,1
512991,512991,4
512991,512991,3
512991,512991,26
512991,512991,27
512991,512991,11
512991,512991,1
512991,512991,31
512991,02,0
512991,13,0
512991,512991,4
532282,532282,1
532282,532282,2
532282,532282,13
532282,532282,1
532282,532282,41
532282,532282,50
532282,532282,10
532282,532282,1
532282,532282,83
532282,532282,2
532282,13,0
532282,532282,10
513075,513075,4
513075,513075,3
513075,513075,6
513075,04,0
513075,513075,44
513075,513075,35
513075,513075,8
513075,06,0
513075,513075,54
513075,513075,1
513075,13,0
513075,513075,9
532321,532321,10
532321,18,0
532321,532321,10
532321,532321,2
532321,532321,44
532321,532321,26
532321,532321,5
532321,532321,1
532321,532321,47
532321,532321,1
532321,13,0
532321,532321,4
532339,532339,7
532339,532339,3
532339,532339,16
532339,532339,1
532339,532339,54
532339,532339,71
532339,532339,9
532339,06,0
532339,532339,83
532339,532339,5
532339,532339,3
532339,532339,5
532355,532355,6
532355,532355,1
532355,532355,16
532355,532355,1
532355,532355,92
532355,532355,60
532355,532355,4
532355,532355,6
532355,532355,76
532355,02,0
532355,532355,1
532355,532355,23
532371,532371,20
532371,532371,9
532371,532371,41
532371,532371,4
532371,532371,206
532371,532371,104
532371,532371,30
532371,532371,1
532371,532371,238
532371,532371,13
532371,13,0
532371,532371,44
532401,532401,3
532401,532401,2
532401,532401,7
532401,04,0
532401,532401,34
532401,532401,20
532401,532401,5
532401,532401,1
532401,532401,62
532401,532401,4
532401,13,0
532401,532401,9
532428,532428,8
532428,532428,1
532428,532428,5
532428,04,0
532428,532428,49
532428,532428,25
532428,532428,2
532428,06,0
532428,532428,38
532428,02,0
532428,532428,7
532428,532428,6
532452,532452,20
532452,532452,9
532452,532452,47
532452,532452,11
532452,532452,261
532452,532452,157
532452,532452,23
532452,532452,7
532452,532452,356
532452,532452,11
532452,13,0
532452,532452,84
532053,532053,1538
532053,532053,308
532053,532053,2234
532053,532053,446
532053,532053,11043
532053,532053,4777
532053,532053,1467
532053,532053,136
532053,532053,13465
532053,532053,358
532053,532053,47
532053,532053,2928
532479,532479,13
532479,532479,2
532479,532479,7
532479,532479,1
532479,532479,35
532479,532479,26
532479,532479,6
532479,06,0
532479,532479,39
532479,02,0
532479,13,0
532479,532479,11
532495,532495,20
532495,532495,4
532495,532495,20
532495,532495,2
532495,532495,60
532495,532495,63
532495,532495,25
532495,532495,2
532495,532495,101
532495,532495,3
532495,13,0
532495,532495,18
571512,571512,5
571512,571512,3
571512,571512,5
571512,571512,1
571512,571512,20
571512,571512,4
571512,571512,5
571512,06,0
571512,571512,16
571512,571512,2
571512,13,0
571512,571512,6
532525,532525,19
532525,532525,8
532525,532525,7
532525,532525,4
532525,532525,131
532525,532525,46
532525,532525,11
532525,532525,1
532525,532525,87
532525,532525,5
532525,13,0
532525,532525,19
513041,513041,8
513041,513041,4
513041,513041,19
513041,513041,4
513041,513041,104
513041,513041,101
513041,513041,8
513041,06,0
513041,513041,107
