509621,121,52,1,5,40,5,14,,,3,1,16,,,,8,,13,2,,45,65,2,6
509647,706,288,12,27,65,11,52,,,4,1,84,,1,,18,,111,5,,179,146,,29,1
509736,425,220,11,12,66,3,38,,,,,89,,2,,13,,39,7,,113,107,1,14,2
509752,24,11,,,7,2,10,,,,1,8,,,,,,5,4,,6,10
509841,268,153,4,9,41,,49,,,7,,23,,1,,9,,31,6,,96,82,,11
510068,71,15,3,7,10,,10,,,1,,14,,,,,,6,1,,21,5,,2
510131,321,108,4,8,47,5,13,,,3,3,39,,,,6,,35,5,,103,90,,18,3
510289,545,234,16,25,77,5,45,,,3,2,117,,4,,21,,69,12,,170,132,,19,5
510297,295,99,2,5,22,1,22,,,2,,33,,,,8,,46,4,,73,54,,25,2
510343,421,90,16,10,53,3,39,,,,2,135,,,,13,,65,9,,156,97,1,15,3
510378,254,59,3,9,24,2,21,,,,,24,,1,,,,47,4,,36,40,,4
510432,533,157,21,10,35,1,57,,,1,,133,,2,,22,,54,6,,133,101,,10,1
510483,1136,323,16,26,122,13,44,,,2,1,222,,2,,13,,157,13,,285,134,,25,3
510491,387,154,11,11,60,1,22,,,,,62,,2,,6,,36,6,,121,71,,20,2
510556,67,41,3,5,6,,5,,,2,2,19,,,,1,,17,1,,30,26,,2
510645,18,8,,,9,,4,,,,,7,,,,,,6,,,7,10
510882,480,225,24,42,168,1,74,,,3,,43,,3,,16,,84,7,,177,188,1,28,1
510891,631,194,13,21,40,3,25,,,2,,31,,1,,17,,36,9,,110,164,,11,3
510939,510,182,10,23,72,3,68,,,2,1,155,,2,,9,,84,10,,175,63,,63,4
510980,101,38,2,3,9,,2,,,1,,14,,,,9,,26,1,,26,47,,3
511021,2465,613,55,51,107,13,106,,,10,5,119,,2,,36,,204,35,,517,543,1,63,3
511081,80,26,1,1,3,,6,,,,1,23,,1,,1,,14,2,,21,29,,2
511161,150,65,9,3,12,,18,,,1,1,22,,,,11,,11,,,64,23,,8
511242,115,48,4,3,8,2,8,,,,,16,,,,2,,31,2,,37,35,,5
511307,23,13,1,1,7,,1,,,,,21,,,,1,,4,,,4,10,,2
511382,15274,4898,431,396,1497,47,1358,,,143,36,1116,,95,,316,,1705,187,,5160,3580,14,552,39
511412,16,23,,,2,,1,,,,,15,,1,,3,,2,,,13,9,,1
511587,112,30,5,3,9,,8,,,1,,4,,3,,3,,19,7,,37,41,4,7
511633,155,51,1,1,12,1,7,,,,,46,,,,6,,14,,,33,12,,2,1
511935,446,188,11,13,24,1,32,,,2,2,193,,2,,29,,31,5,,54,34,,7,1
511951,329,103,2,8,19,,32,,,,,72,,1,,10,,26,5,,44,39,,6,1
511986,148,49,,4,3,,7,,,,,48,,2,,5,,9,,,33,17,,2
512028,715,229,11,8,20,1,15,,,,2,145,,,,24,,45,1,,120,85,,17,1
512176,643,277,11,15,37,4,43,,,,,80,,3,,23,,76,8,,109,100,,13,1
512184,511,196,17,15,58,4,36,,,6,3,133,,3,,18,,58,7,,138,151,2,28,2
512192,228,81,2,11,19,2,20,,,1,2,55,,,,10,,33,4,,67,65,,7,1
512231,660,177,14,15,43,1,37,,,7,1,48,,1,,17,,85,3,,146,165,,6,1
512281,207,80,5,10,12,2,16,,,2,2,36,,2,,8,,38,3,,95,51,,4
512401,42,22,4,4,16,,6,,,,,18,,,,,,7,1,,13,24,,1
512532,287,118,21,12,29,1,24,,,,2,44,,2,,8,,40,9,,108,89,1,2,1
512745,236,111,10,11,26,,17,,,2,,70,,2,,6,,37,7,,81,69,,5
512800,688,215,17,43,58,,64,,,4,1,92,,6,,11,,80,15,,179,186,,27,1
512826,106,36,1,,6,,14,,,1,1,6,,2,,1,,26,,,45,43,,2
512869,336,99,4,6,16,1,13,,,1,,83,,,,4,,42,1,,85,36,1,2
512877,90,49,4,5,8,,4,,,,2,17,,,,1,,24,2,,45,45,,1,1
512893,79,20,2,1,4,,7,,,1,,10,,1,,2,,14,,,27,18
512907,207,149,7,9,17,2,23,,,1,1,65,,2,,4,,24,4,,67,62,,3,1
512923,336,139,4,22,45,,20,,,,1,88,,3,,17,,47,12,,96,43,,12,1
512974,204,103,3,6,6,2,10,,,1,,42,,2,,13,,32,8,,80,47,,4
512982,143,48,3,8,12,,7,,,2,2,57,,2,,5,,42,1,,83,35,,9
512991,45,13,2,1,11,,4,,,,2,,,3,,,,9,2,,27,27
513032,180,38,3,3,19,1,9,,,2,1,6,,2,,,,6,1,,30,47,,5,1
513041,158,62,17,3,35,2,58,,,,1,11,,1,,3,,11,4,,56,70,,10,2
513059,36,7,2,2,2,,2,,,,,4,,,,1,,9,,,17,6
513067,193,70,5,9,24,,25,,,,,73,,3,,6,,27,4,,84,96,,5,1
513075,156,19,1,2,11,2,12,,,,1,6,,,,3,,6,3,,22,28,,3
513105,72,17,,5,12,,9,,,,,6,,1,,,,9,3,,25,19,,2
513113,76,29,8,2,29,,12,,,,,3,,,,2,,7,3,,16,16,,2,1
513130,59,23,,3,24,1,12,,,,,4,,2,,2,,8,1,,28,18,,8,1
513148,48,15,2,1,12,1,7,,,,,1,,,,1,,2,,,23,10,,2
513164,96,40,2,2,20,,10,,,1,3,3,,4,,6,,16,,,50,27,,2
513181,27,10,1,1,5,,4,,,,,4,,,,,,7,,,17,17,,1
513199,371,116,10,17,36,,26,,,5,2,55,,4,,13,,74,2,,102,144,,7
513202,39,15,,1,4,,4,,,1,,1,,,,2,,3,,,7,17,,1,2
513211,175,53,8,1,15,,14,,,,,26,,1,,4,,22,,,60,48,,4,1
513229,502,135,11,16,40,2,35,,,1,3,55,,1,,13,,94,3,,143,124,,6,3
513237,41,11,3,3,8,1,5,,,2,1,4,,,,,,9,1,,27,16,,4
513261,68,26,2,5,3,2,7,,,,,2,,,,4,,7,1,,25,37
513270,56,18,2,1,4,1,,,,,,4,,4,,5,,16,1,,20,25
513288,41,16,1,,12,,8,,,,,,,,,,,8,5,,12,9,,1,1
513369,75,30,1,3,9,2,21,,,2,,2,,,,1,,12,1,,28,17,,3
513393,120,40,4,10,29,1,11,,,1,,3,,,,7,,16,8,,58,30,,7
513415,59,28,1,2,8,,5,,,,,8,,,,2,,9,,,22,18,,3
513423,117,28,3,5,17,4,14,,,3,,6,,,,2,,10,2,,31,32,,10
513431,73,29,9,9,53,3,28,,,,1,7,,,,3,,9,,,33,13,,8
513458,350,87,40,28,244,6,103,,,4,,39,,1,,11,,45,8,,235,42,,30,3
513482,43,13,9,2,13,1,8,,,,,2,,,,1,,16,,,28,17,,3,1
513491,549,181,20,22,58,1,43,,,2,6,62,,3,,6,,46,4,,186,134,,18,2
513504,120,31,1,3,28,,14,,,2,,19,,1,,2,,19,2,,39,19,,,1
513512,82,48,1,4,11,2,14,,,,6,6,,,,1,,6,,,33,27,,5,1
513521,56,17,,1,5,1,1,,,,,8,,,3,,,8,,,13,18,,2
513539,57,15,4,,14,1,4,,,,,9,,,1,2,,18,,,17,11,,4
513547,88,23,3,8,20,,15,,,2,1,,,2,,,,14,,,35,24,,5
513555,57,32,,1,6,,4,,,,,6,,,,,,12,,,24,18,,3
513571,39,14,4,1,10,1,6,,,,,3,,,,2,,2,3,,17,16,1,1
513580,91,38,2,2,12,1,12,,,,,2,,,,,,14,2,,12,27,,2
513628,57,12,2,1,37,1,9,,,,,6,,,1,,,6,,,29,17,,3
