obec,strana,pocet
530204,10,7
530204,4,19
530204,5,102
530204,9,38
530204,12,16
530204,06,0
530204,7,143
530204,2,3
530204,13,0
530204,11,24
530212,1,104
530212,18,4
530212,10,25
530212,4,8
530212,5,142
530212,9,69
530212,12,20
530212,6,2
530212,7,204
530212,2,10
530212,13,1
530212,11,45
530255,1,8
530255,18,0
530255,10,0
530255,4,1
530255,5,9
530255,9,1
530255,12,1
530255,06,0
530255,7,5
530255,02,0
530255,13,1
530255,11,0
530263,1,17
530263,18,2
530263,10,10
530263,4,5
530263,5,139
530263,9,7
530263,12,6
530263,06,0
530263,7,79
530263,2,3
530263,13,0
530263,11,35
530298,1,59
530298,18,6
530298,10,26
530298,4,7
530298,5,200
530298,9,49
530298,12,20
530298,06,0
530298,7,195
530298,2,8
530298,13,0
530298,11,51
530301,1,51
530301,18,6
530301,10,16
530301,4,5
530301,5,59
530301,9,27
530301,12,9
530301,6,2
530301,7,121
530301,2,1
530301,13,0
530301,11,21
530310,1,146
530310,18,22
530310,10,35
530310,4,27
530310,5,374
530310,9,125
530310,12,37
530310,6,2
530310,7,499
530310,2,18
530310,13,7
530310,11,106
530344,1,77
530344,18,15
530344,10,22
530344,4,11
530344,5,161
530344,9,80
530344,12,15
530344,6,3
530344,7,239
530344,2,16
530344,13,1
530344,11,41
599395,1,7
599395,18,1
599395,10,1
599395,04,0
599395,5,13
599395,09,0
599395,12,0
599395,06,0
599395,7,22
599395,02,0
599395,13,0
599395,11,1
530352,1,50
530352,18,1
530352,10,7
530352,4,3
530352,5,82
530352,9,11
530352,12,9
530352,06,0
530352,7,64
530352,2,4
530352,13,0
530352,11,10
533076,1,11
533076,18,0
533076,10,6
533076,04,0
533076,5,26
533076,9,9
533076,12,5
533076,06,0
533076,7,40
533076,02,0
533076,13,1
533076,11,8
530409,1,17
530409,18,1
530409,10,6
530409,4,1
530409,5,55
530409,9,18
530409,12,6
530409,06,0
530409,7,48
530409,2,3
530409,13,0
530409,11,15
532649,1,24
532649,18,5
532649,10,5
532649,4,3
532649,5,34
532649,9,25
532649,12,4
532649,6,1
532649,7,61
532649,2,1
532649,13,0
532649,11,8
530441,1,58
530441,18,9
530441,10,24
530441,4,10
530441,5,138
530441,9,50
530441,12,21
530441,6,3
530441,7,195
530441,2,5
530441,13,1
530441,11,66
530450,1,65
530450,18,11
530450,10,20
530450,4,15
530450,5,135
530450,9,42
530450,12,29
530450,6,6
530450,7,274
530450,2,3
530450,13,1
530450,11,38
530476,1,49
530476,18,1
530476,10,17
530476,4,4
530476,5,102
530476,9,46
530476,12,10
530476,06,0
530476,7,110
530476,2,1
530476,13,0
530476,11,22
530492,1,12
530492,18,1
530492,10,2
530492,04,0
530492,5,65
530492,9,8
530492,12,6
530492,06,0
530492,7,54
530492,02,0
530492,13,1
530492,11,11
530514,1,13
530514,18,3
530514,10,7
530514,04,0
530514,5,26
530514,9,11
530514,12,1
530514,6,1
530514,7,24
530514,02,0
530514,13,0
530514,11,5
538680,1,57
538680,18,21
538680,10,17
538680,4,6
538680,5,266
538680,9,70
538680,12,35
538680,6,4
538680,7,219
538680,2,14
538680,13,1
538680,11,36
530522,1,12
530522,18,1
530522,10,13
530522,4,5
530522,5,40
530522,9,15
530522,12,4
530522,06,0
530522,7,38
530522,2,4
530522,13,1
530522,11,8
530531,1,61
530531,18,1
530531,10,2
530531,4,1
530531,5,24
530531,9,33
530531,12,9
530531,06,0
530531,7,61
530531,2,3
530531,13,0
530531,11,5
530549,1,25
530549,18,1
530549,10,10
530549,4,2
530549,5,38
530549,9,11
530549,12,4
530549,06,0
530549,7,28
530549,2,2
530549,13,1
530549,11,7
532550,1,27
532550,18,0
532550,10,11
532550,4,2
532550,5,27
532550,9,11
532550,12,10
532550,06,0
532550,7,56
532550,2,3
532550,13,0
532550,11,4
532941,1,15
532941,18,1
532941,10,7
532941,04,0
532941,5,16
532941,9,5
532941,12,4
532941,06,0
532941,7,47
532941,02,0
532941,13,0
532941,11,10
530573,1,364
530573,18,19
530573,10,113
530573,4,30
530573,5,376
530573,9,171
530573,12,93
530573,6,6
530573,7,510
530573,2,17
530573,13,10
530573,11,200
532231,1,5
532231,18,0
532231,10,2
532231,4,3
532231,5,2
532231,9,4
532231,12,4
532231,06,0
532231,7,13
532231,02,0
532231,13,0
532231,11,0
530611,1,27
530611,18,5
530611,10,2
530611,4,1
530611,5,25
530611,9,24
530611,12,7
530611,6,1
530611,7,65
530611,2,1
530611,13,0
530611,11,5
532436,1,36
532436,18,1
532436,10,6
532436,4,1
532436,5,7
532436,9,1
532436,12,2
532436,06,0
532436,7,34
532436,02,0
532436,13,0
532436,11,4
530638,1,26
530638,18,1
530638,10,3
530638,04,0
530638,5,57
530638,9,15
530638,12,5
530638,6,1
530638,7,56
530638,2,2
530638,13,0
530638,11,26
599387,1,33
599387,18,0
599387,10,2
599387,4,3
599387,5,29
599387,9,13
599387,12,6
599387,6,2
599387,7,50
599387,2,2
599387,13,0
599387,11,15
599379,1,6
599379,18,3
599379,10,2
599379,04,0
599379,5,12
599379,9,16
599379,12,2
599379,6,2
599379,7,31
599379,2,1
599379,13,0
599379,11,4
599361,1,14
599361,18,1
599361,10,2
599361,4,3
599361,5,9
599361,9,14
599361,12,3
599361,6,1
599361,7,48
599361,2,1
599361,13,0
599361,11,2
530689,1,34
530689,18,4
530689,10,9
530689,4,4
530689,5,105
530689,9,35
530689,12,15
530689,6,3
530689,7,182
530689,2,5
530689,13,1
530689,11,21
530701,1,15
530701,18,2
530701,10,14
530701,4,1
530701,5,69
530701,9,20
530701,12,12
530701,6,2
530701,7,62
530701,02,0
530701,13,0
530701,11,34
530719,1,13
530719,18,1
530719,10,2
530719,4,2
530719,5,5
530719,9,15
530719,12,0
530719,06,0
530719,7,21
530719,02,0
530719,13,0
530719,11,4
532509,1,24
532509,18,1
532509,10,0
532509,04,0
532509,5,11
532509,9,3
532509,12,2
532509,06,0
532509,7,7
532509,02,0
532509,13,0
532509,11,0
530751,1,15
530751,18,3
530751,10,2
530751,4,5
530751,5,30
530751,9,10
530751,12,6
530751,6,1
530751,7,55
530751,02,0
530751,13,0
530751,11,17
530760,1,76
530760,18,3
530760,10,9
530760,4,5
530760,5,53
530760,9,12
530760,12,5
530760,6,1
530760,7,95
530760,2,2
530760,13,2
530760,11,11
530778,1,21
530778,18,5
530778,10,6
530778,4,7
530778,5,27
530778,9,12
530778,12,12
530778,6,1
530778,7,58
530778,02,0
530778,13,0
530778,11,18
532592,1,5
532592,18,1
532592,10,7
532592,04,0
532592,5,43
532592,9,5
532592,12,4
532592,06,0
532592,7,54
532592,2,1
532592,13,0
532592,11,5
532541,1,21
532541,18,0
532541,10,5
532541,4,3
532541,5,20
532541,9,7
532541,12,4
532541,06,0
532541,7,28
532541,02,0
532541,13,0
532541,11,5
530816,1,149
530816,18,4
530816,10,23
530816,4,11
530816,5,159
530816,9,68
530816,12,22
530816,6,6
530816,7,196
530816,2,6
530816,13,1
530816,11,49
532304,1,6
532304,18,0
532304,10,1
532304,04,0
532304,5,20
532304,9,9
532304,12,5
532304,06,0
532304,7,15
532304,2,1
532304,13,0
532304,11,3
530841,1,172
530841,18,39
530841,10,80
530841,4,22
530841,5,937
530841,9,381
530841,12,76
530841,6,14
530841,7,1062
530841,2,31
530841,13,2
530841,11,238
532061,1,22
532061,18,1
532061,10,9
532061,4,5
532061,5,80
532061,9,22
532061,12,6
532061,6,4
532061,7,126
532061,02,0
532061,13,1
532061,11,21
530867,1,44
530867,18,2
530867,10,5
530867,4,4
530867,5,34
530867,9,25
530867,12,3
530867,6,4
530867,7,74
530867,2,3
530867,13,1
530867,11,8
530883,1,635
530883,18,55
530883,10,232
530883,4,81
530883,5,1772
530883,9,779
530883,12,304
530883,6,32
530883,7,2748
530883,2,46
530883,13,30
530883,11,518
532614,1,15
532614,18,0
532614,10,4
532614,4,2
532614,5,18
532614,9,6
532614,12,1
532614,06,0
532614,7,16
532614,02,0
532614,13,0
532614,11,0
530891,1,24
530891,18,10
530891,10,8
530891,4,3
530891,5,49
530891,9,38
530891,12,36
530891,06,0
530891,7,96
530891,2,3
530891,13,1
530891,11,13
530905,1,256
530905,18,27
530905,10,113
530905,4,37
530905,5,701
530905,9,268
530905,12,78
530905,6,12
530905,7,919
530905,2,26
530905,13,11
530905,11,194
530913,1,44
530913,18,4
530913,10,5
530913,4,5
530913,5,67
530913,9,21
530913,12,1
530913,06,0
530913,7,56
530913,2,4
530913,13,0
530913,11,14
530921,1,19
530921,18,2
530921,10,6
530921,4,3
530921,5,47
530921,9,15
530921,12,2
530921,06,0
530921,7,79
530921,2,1
530921,13,0
530921,11,17
530948,1,43
530948,18,10
530948,10,9
530948,4,6
530948,5,92
530948,9,52
530948,12,22
530948,6,2
530948,7,193
530948,2,7
530948,13,1
